92;0;16;#Rotation;x;y;z;;;;;;;
315.6;117.3;-130.8;#Center;of;root;x;y;z;;;;;
682;406;130;#Dimension;of;raw;data;set;x;y;z;;;
ObjectID;X;Y;Z;Timepoint;Radius;Precursors;Color;Lineage;TrackID;TrackColor;TrackGroup;Layer;DivisionType
1;474.5361328125;57.5073242188;26;1;10;{};RGBColor[0.6103769806629107, 0.7436864538982914, 0.3569247338867527];1;{1};RGBColor[1., 0.9606012054627299, 0.13333333333333333];5;0;-
1;426.5830078125;89.4760742188;32;106;10;{};RGBColor[0.6103769806629107, 0.7436864538982914, 0.3569247338867527];1;{1};RGBColor[1., 0.9606012054627299, 0.13333333333333333];5;0;0
2;384.6240234375;114.7846679688;37;1;10;{};RGBColor[0.394216227725057, 0.13167294376533256, 0.18764151078499236];2;{2};RGBColor[0.3043106736858167, 1., 0.06666666666666667];4;0;-
2;310.6962890625;146.7534179688;40;37;10;{};RGBColor[0.394216227725057, 0.13167294376533256, 0.18764151078499236];2;{2};RGBColor[0.3043106736858167, 1., 0.06666666666666667];4;0;0
3;450.5595703125;104.1284179688;41;1;10;{};RGBColor[0.8732545621093076, 0.2552963995104587, 0.15384994295764418];3;{3};RGBColor[0.06666666666666667, 0.847348744945449, 1.];3;0;-
3;458.5517578125;106.1264648438;41;28;10;{};RGBColor[0.8732545621093076, 0.2552963995104587, 0.15384994295764418];3;{3};RGBColor[0.06666666666666667, 0.847348744945449, 1.];3;0;0
4;315.3583984375;158.0756835938;45;1;10;{};RGBColor[0.35736448989763314, 0.8503480085089217, 0.8247770033308011];4;{4};RGBColor[0.06666666666666667, 0.847348744945449, 1.];3;0;-
4;301.3720703125;166.7338867188;45;14;10;{};RGBColor[0.35736448989763314, 0.8503480085089217, 0.8247770033308011];4;{4};RGBColor[0.06666666666666667, 0.847348744945449, 1.];3;0;0
5;628.3857421875;16.8803710938;47;1;10;{};RGBColor[0.2892119164444628, 0.5440514092378386, 0.7660563659459692];5;{5};RGBColor[0.06666666666666667, 0.847348744945449, 1.];3;0;-
5;652.3623046875;14.8823242188;51;65;10;{};RGBColor[0.2892119164444628, 0.5440514092378386, 0.7660563659459692];5;{5};RGBColor[0.06666666666666667, 0.847348744945449, 1.];3;0;0
6;362.6455078125;141.4252929688;60;1;10;{};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;-
6;320.0205078125;159.4077148438;61;19;10;{};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;0
7;547.7978515625;40.1909179688;62;1;10;{};RGBColor[0.6690736773752811, 0.7430071930401189, 0.32111075034330483];7;{7};RGBColor[1., 0.24536507209887845, 0.];1;0;-
7;478.5322265625;80.1518554688;69;95;10;{};RGBColor[0.6690736773752811, 0.7430071930401189, 0.32111075034330483];7;{7};RGBColor[1., 0.24536507209887845, 0.];1;0;0
8;306.0341796875;142.7573242188;71;1;10;{};RGBColor[0.2616682055062115, 0.4613212991107912, 0.8052679159043328];8;{8};RGBColor[1., 0.24536507209887845, 0.];1;0;-
8;268.0712890625;164.0698242188;72;48;10;{};RGBColor[0.2616682055062115, 0.4613212991107912, 0.8052679159043328];8;{8};RGBColor[1., 0.24536507209887845, 0.];1;0;0
9;328.6787109375;156.0776367188;61;20;10;{6};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;-
9;362.6455078125;145.4213867188;67;74;10;{6};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;0
10;310.6962890625;162.7377929688;61;20;10;{6};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;-
10;283.3896484375;170.7299804688;65;72;10;{6};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;0
11;298.7080078125;165.4018554688;65;73;10;{6, 10};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;-
11;304.7021484375;166.7338867188;70;128;10;{6, 10};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;1
12;271.4013671875;180.0541992188;65;73;10;{6, 10};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;-
12;240.7646484375;187.3803710938;69;121;10;{6, 10};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;0
13;255.4169921875;182.0522460938;69;122;10;{6, 10, 12};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 2, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;-
13;260.0791015625;176.0581054688;74;179;10;{6, 10, 12};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 2, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;1
14;232.1064453125;193.3745117188;69;122;10;{6, 10, 12};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 2, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;-
14;231.4404296875;197.3706054688;74;185;10;{6, 10, 12};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 2, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;1
15;242.7626953125;199.3686523438;74;186;10;{6, 10, 12, 14};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 2, 2, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;-
15;243.4287109375;216.6850585938;77;279;10;{6, 10, 12, 14};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 2, 2, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;1
16;217.4541015625;196.0385742188;74;186;10;{6, 10, 12, 14};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 2, 2, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;-
16;212.7919921875;208.6928710938;77;295;10;{6, 10, 12, 14};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 2, 2, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;0
17;216.7880859375;198.0366210938;77;296;10;{6, 10, 12, 14, 16};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 2, 2, 2, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;-
17;215.4560546875;195.3725585938;76;350;10;{6, 10, 12, 14, 16};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 2, 2, 2, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;-
18;208.7958984375;216.0190429688;77;296;10;{6, 10, 12, 14, 16};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 2, 2, 2, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;-
18;208.7958984375;220.6811523438;79;350;10;{6, 10, 12, 14, 16};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 2, 2, 2, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;-
19;238.7666015625;206.0288085938;76;280;10;{6, 10, 12, 14, 15};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 2, 2, 1, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;-
19;240.0986328125;208.0268554688;76;350;10;{6, 10, 12, 14, 15};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 2, 2, 1, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;-
20;244.7607421875;222.6791992188;80;280;10;{6, 10, 12, 14, 15};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 2, 2, 1, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;2;-
20;246.0927734375;230.0053710938;82;350;10;{6, 10, 12, 14, 15};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 2, 2, 1, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;2;-
21;253.4189453125;166.7338867188;74;180;10;{6, 10, 12, 13};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 2, 1, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;-
21;234.7705078125;175.3920898438;77;238;10;{6, 10, 12, 13};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 2, 1, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;0;0
22;264.7412109375;184.0502929688;74;180;10;{6, 10, 12, 13};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 2, 1, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;-
22;274.7314453125;196.7045898438;81;238;10;{6, 10, 12, 13};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 2, 1, 2};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;1
23;272.0673828125;190.7104492188;81;239;10;{6, 10, 12, 13, 22};RGBColor[0.2224396612100508, 0.8969302578237542, 0.251566232845589];6;{6, 2, 2, 1, 2, 1};RGBColor[0.5430075532158388, 0.13333333333333333, 1.];2;1;-
