61 2 -2 #Rotation x y z       
301.8 51.3 -244.4 #Center of root x y z     
555 221 147 #Dimension of raw data set x y z
ObjectID X Y Z Timepoint Radius Precursors Color Lineage TrackID TrackColor TrackGroup Layer DivisionType
1 320.5883789063 72.9006347656 112 1 10 {} "RGBColor[0.883437, 0.624045, 0.225926]" 1 {1} "RGBColor[0., 0., 1.]" -1 {0} -
1 299.9926757813 70.1906738281 111 19 10 {} "RGBColor[0.883437, 0.624045, 0.225926]" 1 {1} "RGBColor[0., 0., 1.]" -1 {0} 0
2 380.2075195313 90.2443847656 116 1 10 {} "RGBColor[0.901234, 0.567444, 0.213614]" 2 {2} "RGBColor[0.501961, 0., 1.]" 0 {0} -
2 385.0854492188 91.8703613281 117 8 10 {} "RGBColor[0.901234, 0.567444, 0.213614]" 2 {2} "RGBColor[0.501961, 0., 1.]" 0 {0} 0
3 291.3208007813 91.3283691406 120 1 10 {} "RGBColor[0.896433, 0.593568, 0.218988]" 3 {3} "RGBColor[0.501961, 0., 1.]" 0 {0} 0
4 354.1918945313 96.2062988281 130 1 10 {} "RGBColor[0.690033, 0.742765, 0.308322]" 4 {4} "RGBColor[1., 0., 0.]" 1 {0} 0
5 207.8540039063 96.7482910156 133 1 10 {} "RGBColor[0.244308, 0.356577, 0.814472]" 5 {5} "RGBColor[1., 0., 0.]" 1 {0} 0
6 192.1362304688 101.6262207031 145 1 10 {} "RGBColor[0.3079, 0.588124, 0.736253]" 6 {6} "RGBColor[0., 1., 0.]" 2 {0} -
6 140.1049804688 97.8322753906 143 23 10 {} "RGBColor[0.3079, 0.588124, 0.736253]" 6 {6} "RGBColor[0., 1., 0.]" 2 {0} 0
7 342.2680664063 98.9162597656 143 1 10 {} "RGBColor[0.276101, 0.180048, 0.725127]" 7 {7} "RGBColor[0., 1., 0.]" 2 {0} -
7 340.1000976563 101.0842285156 140 14 10 {} "RGBColor[0.276101, 0.180048, 0.725127]" 7 {7} "RGBColor[0., 1., 0.]" 2 {0} 0
8 315.7104492188 55.5568847656 110 1 10 {} "RGBColor[0.244882, 0.365806, 0.815591]" 8 {8} "RGBColor[0., 1., 1.]" -2 {0} -
8 327.6342773438 53.9309082031 106 35 10 {} "RGBColor[0.244882, 0.365806, 0.815591]" 8 {8} "RGBColor[0., 1., 1.]" -2 {0} 0
15 305.9545898438 92.4123535156 120 2 10 {3} "RGBColor[0.245656, 0.329026, 0.804955]" 3 "{3, 1}" "RGBColor[0.501961, 0., 1.]" 0 {0} -
15 320.5883789063 89.7023925781 118 48 10 {3} "RGBColor[0.245656, 0.329026, 0.804955]" 3 "{3, 1}" "RGBColor[0.501961, 0., 1.]" 0 {0} 1
16 277.2290039063 91.3283691406 120 2 10 {3} "RGBColor[0.285825, 0.535633, 0.771407]" 3 "{3, 2}" "RGBColor[0.501961, 0., 1.]" 0 {0} -
