45 2 -2 #Rotation x y z
301.8 51.3 -244.4 #Center of root x y z
688 291 161 #Dimension of raw data set x y z
ObjectID X Y Z Timepoint Radius Precursors Color Lineage TrackID TrackColor TrackGroup
1 320.5883789063 72.9006347656 112 1 10 {} "RGBColor[0.8834369645359315, 0.6240454651988563, 0.22592623028269374]" 1 {1} "RGBColor[0., 0., 1.]" 5
1 299.9926757813 70.1906738281 111 19 10 {} "RGBColor[0.8834369645359315, 0.6240454651988563, 0.22592623028269374]" 1 {1} "RGBColor[0., 0., 1.]" 5
146 307.5805664063 69.6486816406 111 20 10 {1} "RGBColor[0.26559355448091115, 0.4836570725934504, 0.8028539740954201]" 1 "{1, 1}" "RGBColor[0., 0., 1.]" 5
146 339.5581054688 59.3508300781 106 73 10 {1} "RGBColor[0.26559355448091115, 0.4836570725934504, 0.8028539740954201]" 1 "{1, 1}" "RGBColor[0., 0., 1.]" 5
147 294.0307617188 71.2746582031 111 20 10 {1} "RGBColor[0.25062371762947994, 0.2275170748690391, 0.7698881883593933]" 1 "{1, 2}" "RGBColor[0., 0., 1.]" 5
147 239.8315429688 61.5187988281 109 70 10 {1} "RGBColor[0.25062371762947994, 0.2275170748690391, 0.7698881883593933]" 1 "{1, 2}" "RGBColor[0., 0., 1.]" 5
148 251.2133789063 60.4348144531 109 71 10 "{1, 147}" "RGBColor[0.24575344801434454, 0.327044052732131, 0.8042701819781561]" 1 "{1, 2, 1}" "RGBColor[0., 0., 1.]" 5
148 260.4272460938 58.8088378906 102 124 10 "{1, 147}" "RGBColor[0.24575344801434454, 0.327044052732131, 0.8042701819781561]" 1 "{1, 2, 1}" "RGBColor[0., 0., 1.]" 5
149 225.7397460938 60.9768066406 109 71 10 "{1, 147}" "RGBColor[0.33687040417478, 0.6253890310955216, 0.6863563602221227]" 1 "{1, 2, 2}" "RGBColor[0., 0., 1.]" 5
149 193.7622070313 59.8928222656 101 122 10 "{1, 147}" "RGBColor[0.33687040417478, 0.6253890310955216, 0.6863563602221227]" 1 "{1, 2, 2}" "RGBColor[0., 0., 1.]" 5
150 196.4721679688 64.7707519531 101 123 10 "{1, 147, 149}" "RGBColor[0.5906377639688253, 0.7412268754509185, 0.37340945084304245]" 1 "{1, 2, 2, 1}" "RGBColor[0., 0., 1.]" 5
150 182.3803710938 67.4807128906 92 219 10 "{1, 147, 149}" "RGBColor[0.5906377639688253, 0.7412268754509185, 0.37340945084304245]" 1 "{1, 2, 2, 1}" "RGBColor[0., 0., 1.]" 5
151 194.3041992188 55.5568847656 105 123 10 "{1, 147, 149}" "RGBColor[0.48794283994462323, 0.7213637912424232, 0.47105256337131546]" 1 "{1, 2, 2, 2}" "RGBColor[0., 0., 1.]" 5
151 136.3110351563 58.2668457031 100 252 10 "{1, 147, 149}" "RGBColor[0.48794283994462323, 0.7213637912424232, 0.47105256337131546]" 1 "{1, 2, 2, 2}" "RGBColor[0., 0., 1.]" 5
152 148.2348632813 57.1828613281 100 253 10 "{1, 147, 149, 151}" "RGBColor[0.3413975082032822, 0.11591245112437806, 0.6384638269116335]" 1 "{1, 2, 2, 2, 1}" "RGBColor[0., 0., 1.]" 5
152 181.2963867188 58.8088378906 98 300 10 "{1, 147, 149, 151}" "RGBColor[0.3413975082032822, 0.11591245112437806, 0.6384638269116335]" 1 "{1, 2, 2, 2, 1}" "RGBColor[0., 0., 1.]" 5
153 128.1811523438 58.2668457031 100 253 10 "{1, 147, 149, 151}" "RGBColor[0.6360450933726381, 0.743389412578363, 0.34126325006114233]" 1 "{1, 2, 2, 2, 2}" "RGBColor[0., 0., 1.]" 5
153 97.8295898438 65.8547363281 95 300 10 "{1, 147, 149, 151}" "RGBColor[0.6360450933726381, 0.743389412578363, 0.34126325006114233]" 1 "{1, 2, 2, 2, 2}" "RGBColor[0., 0., 1.]" 5
154 336.3061523438 65.3127441406 104 74 10 "{1, 146}" "RGBColor[0.9028424498092512, 0.45470327062548854, 0.19215471510532184]" 1 "{1, 1, 1}" "RGBColor[0., 0., 1.]" 5
154 331.4282226563 63.1447753906 95 129 10 "{1, 146}" "RGBColor[0.9028424498092512, 0.45470327062548854, 0.19215471510532184]" 1 "{1, 1, 1}" "RGBColor[0., 0., 1.]" 5
155 336.8481445313 53.9309082031 110 74 10 "{1, 146}" "RGBColor[0.7733621440529768, 0.7262310958598669, 0.2699034342404506]" 1 "{1, 1, 2}" "RGBColor[0., 0., 1.]" 5
155 324.9243164063 51.2209472656 102 142 10 "{1, 146}" "RGBColor[0.7733621440529768, 0.7262310958598669, 0.2699034342404506]" 1 "{1, 1, 2}" "RGBColor[0., 0., 1.]" 5
157 334.6801757813 51.2209472656 102 143 10 "{1, 146, 155}" "RGBColor[0.5823861054032209, 0.7400186450363313, 0.3805980627907973]" 1 "{1, 1, 2, 1}" "RGBColor[0., 0., 1.]" 5
157 352.0239257813 59.8928222656 95 218 10 "{1, 146, 155}" "RGBColor[0.5823861054032209, 0.7400186450363313, 0.3805980627907973]" 1 "{1, 1, 2, 1}" "RGBColor[0., 0., 1.]" 5
158 315.7104492188 51.7629394531 102 143 10 "{1, 146, 155}" "RGBColor[0.9020802058648294, 0.5081150591877936, 0.20232128360384133]" 1 "{1, 1, 2, 2}" "RGBColor[0., 0., 1.]" 5
158 293.4887695313 57.7248535156 97 217 10 "{1, 146, 155}" "RGBColor[0.9020802058648294, 0.5081150591877936, 0.20232128360384133]" 1 "{1, 1, 2, 2}" "RGBColor[0., 0., 1.]" 5
159 344.9780273438 62.0607910156 95 130 10 "{1, 146, 154}" "RGBColor[0.8909954764674313, 0.3769346597833342, 0.17690435441879543]" 1 "{1, 1, 1, 1}" "RGBColor[0., 0., 1.]" 5
159 344.9780273438 70.7326660156 86 212 10 "{1, 146, 154}" "RGBColor[0.8909954764674313, 0.3769346597833342, 0.17690435441879543]" 1 "{1, 1, 1, 1}" "RGBColor[0., 0., 1.]" 5
160 319.5043945313 63.6867675781 95 130 10 "{1, 146, 154}" "RGBColor[0.5015860368162657, 0.7259462402927837, 0.45478699958916075]" 1 "{1, 1, 1, 2}" "RGBColor[0., 0., 1.]" 5
160 289.6948242188 68.5646972656 84 195 10 "{1, 146, 154}" "RGBColor[0.5015860368162657, 0.7259462402927837, 0.45478699958916075]" 1 "{1, 1, 1, 2}" "RGBColor[0., 0., 1.]" 5
161 345.5200195313 65.8547363281 89 213 10 "{1, 146, 154, 159}" "RGBColor[0.31637672596790783, 0.5990271918464039, 0.7216539705264169]" 1 "{1, 1, 1, 1, 1}" "RGBColor[0., 0., 1.]" 5
161 348.7719726563 68.5646972656 83 300 10 "{1, 146, 154, 159}" "RGBColor[0.31637672596790783, 0.5990271918464039, 0.7216539705264169]" 1 "{1, 1, 1, 1, 1}" "RGBColor[0., 0., 1.]" 5
162 342.8100585938 75.0686035156 83 213 10 "{1, 146, 154, 159}" "RGBColor[0.33776315092561626, 0.11611221929094503, 0.6415791813249679]" 1 "{1, 1, 1, 1, 2}" "RGBColor[0., 0., 1.]" 5
162 346.0620117188 75.6105957031 73 289 10 "{1, 146, 154, 159}" "RGBColor[0.33776315092561626, 0.11611221929094503, 0.6415791813249679]" 1 "{1, 1, 1, 1, 2}" "RGBColor[0., 0., 1.]" 5
163 355.2758789063 73.9846191406 73 290 10 "{1, 146, 154, 159, 162}" "RGBColor[0.39388339982054743, 0.6779550540026099, 0.5949473611128442]" 1 "{1, 1, 1, 1, 2, 1}" "RGBColor[0., 0., 1.]" 5
163 365.5737304688 77.7785644531 74 300 10 "{1, 146, 154, 159, 162}" "RGBColor[0.39388339982054743, 0.6779550540026099, 0.5949473611128442]" 1 "{1, 1, 1, 1, 2, 1}" "RGBColor[0., 0., 1.]" 5
164 334.6801757813 71.8166503906 73 290 10 "{1, 146, 154, 159, 162}" "RGBColor[0.8812317552361677, 0.6292168462416732, 0.22710357284042051]" 1 "{1, 1, 1, 1, 2, 2}" "RGBColor[0., 0., 1.]" 5
164 327.0922851563 73.9846191406 70 300 10 "{1, 146, 154, 159, 162}" "RGBColor[0.8812317552361677, 0.6292168462416732, 0.22710357284042051]" 1 "{1, 1, 1, 1, 2, 2}" "RGBColor[0., 0., 1.]" 5
165 288.6108398438 70.7326660156 78 196 10 "{1, 146, 154, 160}" "RGBColor[0.44825093542514033, 0.7080321555646917, 0.5183736722485724]" 1 "{1, 1, 1, 2, 1}" "RGBColor[0., 0., 1.]" 5
165 285.9008789063 72.3586425781 72 253 10 "{1, 146, 154, 160}" "RGBColor[0.44825093542514033, 0.7080321555646917, 0.5183736722485724]" 1 "{1, 1, 1, 2, 1}" "RGBColor[0., 0., 1.]" 5
166 291.3208007813 66.3967285156 87 196 10 "{1, 146, 154, 160}" "RGBColor[0.8786199853852701, 0.2965404771112295, 0.1611346801161288]" 1 "{1, 1, 1, 2, 2}" "RGBColor[0., 0., 1.]" 5
166 284.8168945313 70.7326660156 80 295 10 "{1, 146, 154, 160}" "RGBColor[0.8786199853852701, 0.2965404771112295, 0.1611346801161288]" 1 "{1, 1, 1, 2, 2}" "RGBColor[0., 0., 1.]" 5
167 282.6489257813 79.4045410156 76 296 10 "{1, 146, 154, 160, 166}" "RGBColor[0.48236488201444605, 0.7194902781457077, 0.4777026638822927]" 1 "{1, 1, 1, 2, 2, 1}" "RGBColor[0., 0., 1.]" 5
167 286.4428710938 81.5725097656 77 300 10 "{1, 146, 154, 160, 166}" "RGBColor[0.48236488201444605, 0.7194902781457077, 0.4777026638822927]" 1 "{1, 1, 1, 2, 2, 1}" "RGBColor[0., 0., 1.]" 5
168 286.4428710938 62.6027832031 79 296 10 "{1, 146, 154, 160, 166}" "RGBColor[0.30763468699777635, 0.12370062079025597, 0.6704123143441586]" 1 "{1, 1, 1, 2, 2, 2}" "RGBColor[0., 0., 1.]" 5
168 285.3588867188 61.5187988281 78 300 10 "{1, 146, 154, 160, 166}" "RGBColor[0.30763468699777635, 0.12370062079025597, 0.6704123143441586]" 1 "{1, 1, 1, 2, 2, 2}" "RGBColor[0., 0., 1.]" 5
169 295.6567382813 70.1906738281 72 254 10 "{1, 146, 154, 160, 165}" "RGBColor[0.6948687698873306, 0.7427086822608456, 0.3053717893715273]" 1 "{1, 1, 1, 2, 1, 1}" "RGBColor[0., 0., 1.]" 5
169 297.2827148438 73.9846191406 68 300 10 "{1, 146, 154, 160, 165}" "RGBColor[0.6948687698873306, 0.7427086822608456, 0.3053717893715273]" 1 "{1, 1, 1, 2, 1, 1}" "RGBColor[0., 0., 1.]" 5
170 273.4350585938 71.2746582031 72 254 10 "{1, 146, 154, 160, 165}" "RGBColor[0.7541983570128438, 0.7308197771127987, 0.27811137815287057]" 1 "{1, 1, 1, 2, 1, 2}" "RGBColor[0., 0., 1.]" 5
170 272.8930664063 75.0686035156 68 300 10 "{1, 146, 154, 160, 165}" "RGBColor[0.7541983570128438, 0.7308197771127987, 0.27811137815287057]" 1 "{1, 1, 1, 2, 1, 2}" "RGBColor[0., 0., 1.]" 5
171 359.6118164063 60.9768066406 95 219 10 "{1, 146, 155, 157}" "RGBColor[0.402355322757232, 0.683584518668447, 0.5820772738638982]" 1 "{1, 1, 2, 1, 1}" "RGBColor[0., 0., 1.]" 5
171 378.0395507813 63.1447753906 90 300 10 "{1, 146, 155, 157}" "RGBColor[0.402355322757232, 0.683584518668447, 0.5820772738638982]" 1 "{1, 1, 2, 1, 1}" "RGBColor[0., 0., 1.]" 5
172 344.4360351563 58.8088378906 95 219 10 "{1, 146, 155, 157}" "RGBColor[0.249784986991861, 0.244657055239731, 0.7758092633119704]" 1 "{1, 1, 2, 1, 2}" "RGBColor[0., 0., 1.]" 5
172 328.1762695313 58.8088378906 93 300 10 "{1, 146, 155, 157}" "RGBColor[0.249784986991861, 0.244657055239731, 0.7758092633119704]" 1 "{1, 1, 2, 1, 2}" "RGBColor[0., 0., 1.]" 5
173 331.4282226563 63.6867675781 89 301 10 "{1, 146, 155, 157, 172}" "RGBColor[0.39922757840794865, 0.6815061798509608, 0.5868287739623432]" 1 "{1, 1, 2, 1, 2, 1}" "RGBColor[0., 0., 1.]" 5
174 327.6342773438 53.3889160156 95 301 10 "{1, 146, 155, 157, 172}" "RGBColor[0.26430916557418216, 0.4763487237385479, 0.8036438249088995]" 1 "{1, 1, 2, 1, 2, 2}" "RGBColor[0., 0., 1.]" 5
175 292.9467773438 62.6027832031 94 218 10 "{1, 146, 155, 158}" "RGBColor[0.8172209748748378, 0.7045929898058603, 0.2528517445102745]" 1 "{1, 1, 2, 2, 1}" "RGBColor[0., 0., 1.]" 5
