0 0 0 #Rotation x y z
0 0 0 #Center of root x y z
1 1 1 #Dimension of raw data set x y z
ObjectID X Y Z Timepoint Radius Precursors Color Lineage TrackID TrackColor TrackGroup
1 23.9873046875 121.0083007813 60 1 10 {} "RGBColor[0.9028061560707639, 0.45365969050802996, 0.19195430834799143]" 1 {1} "RGBColor[0.5019607843137255, 1., 1.]" 1
1 89.4072265625 135.9614257813 70 76 10 {} "RGBColor[0.9028061560707639, 0.45365969050802996, 0.19195430834799143]" 1 {1} "RGBColor[0.5019607843137255, 1., 1.]" 1
11 105.6064453125 136.5844726563 70 77 10 {1} "RGBColor[0.9028061560707639, 0.45365969050802996, 0.19195430834799143]" 1 "{1, 1}" "RGBColor[0.5019607843137255, 1., 1.]" 1
11 163.5498046875 148.4223632813 58 179 10 {1} "RGBColor[0.9028061560707639, 0.45365969050802996, 0.19195430834799143]" 1 "{1, 1}" "RGBColor[0.5019607843137255, 1., 1.]" 1
12 83.7998046875 133.4692382813 70 77 10 {1} "RGBColor[0.9028061560707639, 0.45365969050802996, 0.19195430834799143]" 1 "{1, 2}" "RGBColor[0.5019607843137255, 1., 1.]" 1
12 4.0498046875 116.6469726563 56 179 10 {1} "RGBColor[0.9028061560707639, 0.45365969050802996, 0.19195430834799143]" 1 "{1, 2}" "RGBColor[0.5019607843137255, 1., 1.]" 1
2 549.8388671875 146.5532226563 64 1 10 {} "RGBColor[0.6173608803999927, 0.7436056335115488, 0.35266348437421874]" 2 {2} "RGBColor[0.5019607843137255, 1., 1.]" 1
2 546.1005859375 150.2915039063 81 76 10 {} "RGBColor[0.6173608803999927, 0.7436056335115488, 0.35266348437421874]" 2 {2} "RGBColor[0.5019607843137255, 1., 1.]" 1
13 530.5244140625 155.2758789063 81 77 10 {2} "RGBColor[0.6173608803999927, 0.7436056335115488, 0.35266348437421874]" 2 "{2, 1}" "RGBColor[0.5019607843137255, 1., 1.]" 1
13 367.9091796875 160.8833007813 78 154 10 {2} "RGBColor[0.6173608803999927, 0.7436056335115488, 0.35266348437421874]" 2 "{2, 1}" "RGBColor[0.5019607843137255, 1., 1.]" 1
14 561.6767578125 146.5532226563 81 77 10 {2} "RGBColor[0.6173608803999927, 0.7436056335115488, 0.35266348437421874]" 2 "{2, 2}" "RGBColor[0.5019607843137255, 1., 1.]" 1
14 634.5732421875 125.3696289063 79 179 10 {2} "RGBColor[0.6173608803999927, 0.7436056335115488, 0.35266348437421874]" 2 "{2, 2}" "RGBColor[0.5019607843137255, 1., 1.]" 1
15 382.8623046875 160.2602539063 78 155 10 "{2, 13}" "RGBColor[0.6173608803999927, 0.7436056335115488, 0.35266348437421874]" 2 "{2, 1, 1}" "RGBColor[0.5019607843137255, 1., 1.]" 1
15 427.7216796875 158.3911132813 69 179 10 "{2, 13}" "RGBColor[0.6173608803999927, 0.7436056335115488, 0.35266348437421874]" 2 "{2, 1, 1}" "RGBColor[0.5019607843137255, 1., 1.]" 1
16 352.9560546875 160.2602539063 78 155 10 "{2, 13}" "RGBColor[0.6173608803999927, 0.7436056335115488, 0.35266348437421874]" 2 "{2, 1, 2}" "RGBColor[0.5019607843137255, 1., 1.]" 1
16 333.0185546875 158.3911132813 66 179 10 "{2, 13}" "RGBColor[0.6173608803999927, 0.7436056335115488, 0.35266348437421874]" 2 "{2, 1, 2}" "RGBColor[0.5019607843137255, 1., 1.]" 1
3 296.2587890625 180.1977539063 83 1 10 {} "RGBColor[0.7707233856718524, 0.7268629344984995, 0.27103362738783526]" 3 {3} "RGBColor[1., 1., 0.5019607843137255]" 2
3 289.4052734375 183.9360351563 79 45 10 {} "RGBColor[0.7707233856718524, 0.7268629344984995, 0.27103362738783526]" 3 {3} "RGBColor[1., 1., 0.5019607843137255]" 2
17 303.7353515625 186.4282226563 79 46 10 {3} "RGBColor[0.7707233856718524, 0.7268629344984995, 0.27103362738783526]" 3 "{3, 1}" "RGBColor[1., 1., 0.5019607843137255]" 2
17 333.6416015625 178.3286132813 90 128 10 {3} "RGBColor[0.7707233856718524, 0.7268629344984995, 0.27103362738783526]" 3 "{3, 1}" "RGBColor[1., 1., 0.5019607843137255]" 2
18 278.1904296875 185.1821289063 79 46 10 {3} "RGBColor[0.7707233856718524, 0.7268629344984995, 0.27103362738783526]" 3 "{3, 2}" "RGBColor[1., 1., 0.5019607843137255]" 2
18 234.5771484375 173.9672851563 87 123 10 {3} "RGBColor[0.7707233856718524, 0.7268629344984995, 0.27103362738783526]" 3 "{3, 2}" "RGBColor[1., 1., 0.5019607843137255]" 2
21 352.3330078125 180.1977539063 90 129 10 "{3, 17}" "RGBColor[0.7707233856718524, 0.7268629344984995, 0.27103362738783526]" 3 "{3, 1, 1}" "RGBColor[1., 1., 0.5019607843137255]" 2
21 373.5166015625 177.7055664063 76 179 10 "{3, 17}" "RGBColor[0.7707233856718524, 0.7268629344984995, 0.27103362738783526]" 3 "{3, 1, 1}" "RGBColor[1., 1., 0.5019607843137255]" 2
22 326.7880859375 177.7055664063 90 129 10 "{3, 17}" "RGBColor[0.7707233856718524, 0.7268629344984995, 0.27103362738783526]" 3 "{3, 1, 2}" "RGBColor[1., 1., 0.5019607843137255]" 2
22 315.5732421875 176.4594726563 73 179 10 "{3, 17}" "RGBColor[0.7707233856718524, 0.7268629344984995, 0.27103362738783526]" 3 "{3, 1, 2}" "RGBColor[1., 1., 0.5019607843137255]" 2
19 251.3994140625 176.4594726563 87 124 10 "{3, 18}" "RGBColor[0.7707233856718524, 0.7268629344984995, 0.27103362738783526]" 3 "{3, 2, 1}" "RGBColor[1., 1., 0.5019607843137255]" 2
19 264.4833984375 172.7211914063 72 179 10 "{3, 18}" "RGBColor[0.7707233856718524, 0.7268629344984995, 0.27103362738783526]" 3 "{3, 2, 1}" "RGBColor[1., 1., 0.5019607843137255]" 2
20 222.7392578125 174.5903320313 87 124 10 "{3, 18}" "RGBColor[0.7707233856718524, 0.7268629344984995, 0.27103362738783526]" 3 "{3, 2, 2}" "RGBColor[1., 1., 0.5019607843137255]" 2
20 145.4814453125 162.7524414063 67 179 10 "{3, 18}" "RGBColor[0.7707233856718524, 0.7268629344984995, 0.27103362738783526]" 3 "{3, 2, 2}" "RGBColor[1., 1., 0.5019607843137255]" 2
4 162.9267578125 172.7211914063 98 1 10 {} "RGBColor[0.5744239437967285, 0.7388528035582408, 0.3875344731620369]" 4 {4} "RGBColor[0.5019607843137255, 1., 1.]" 3
4 241.4306640625 194.5278320313 96 49 10 {} "RGBColor[0.5744239437967285, 0.7388528035582408, 0.3875344731620369]" 4 {4} "RGBColor[0.5019607843137255, 1., 1.]" 3
23 257.6298828125 193.2817382813 96 50 10 {4} "RGBColor[0.5744239437967285, 0.7388528035582408, 0.3875344731620369]" 4 "{4, 1}" "RGBColor[0.5019607843137255, 1., 1.]" 3
23 264.4833984375 184.5590820313 115 122 10 {4} "RGBColor[0.5744239437967285, 0.7388528035582408, 0.3875344731620369]" 4 "{4, 1}" "RGBColor[0.5019607843137255, 1., 1.]" 3
24 216.5087890625 191.4125976563 96 50 10 {4} "RGBColor[0.5744239437967285, 0.7388528035582408, 0.3875344731620369]" 4 "{4, 2}" "RGBColor[0.5019607843137255, 1., 1.]" 3
24 192.2099609375 179.5747070313 104 114 10 {4} "RGBColor[0.5744239437967285, 0.7388528035582408, 0.3875344731620369]" 4 "{4, 2}" "RGBColor[0.5019607843137255, 1., 1.]" 3
27 265.7294921875 175.8364257813 115 123 10 "{4, 23}" "RGBColor[0.5744239437967285, 0.7388528035582408, 0.3875344731620369]" 4 "{4, 1, 1}" "RGBColor[0.5019607843137255, 1., 1.]" 3
27 270.7138671875 173.9672851563 100 179 10 "{4, 23}" "RGBColor[0.5744239437967285, 0.7388528035582408, 0.3875344731620369]" 4 "{4, 1, 1}" "RGBColor[0.5019607843137255, 1., 1.]" 3
28 264.4833984375 194.5278320313 115 123 10 "{4, 23}" "RGBColor[0.5744239437967285, 0.7388528035582408, 0.3875344731620369]" 4 "{4, 1, 2}" "RGBColor[0.5019607843137255, 1., 1.]" 3
28 268.8447265625 196.3969726563 105 179 10 "{4, 23}" "RGBColor[0.5744239437967285, 0.7388528035582408, 0.3875344731620369]" 4 "{4, 1, 2}" "RGBColor[0.5019607843137255, 1., 1.]" 3
25 205.9169921875 178.9516601563 104 115 10 "{4, 24}" "RGBColor[0.5744239437967285, 0.7388528035582408, 0.3875344731620369]" 4 "{4, 2, 1}" "RGBColor[0.5019607843137255, 1., 1.]" 3
25 220.8701171875 185.1821289063 98 179 10 "{4, 24}" "RGBColor[0.5744239437967285, 0.7388528035582408, 0.3875344731620369]" 4 "{4, 2, 1}" "RGBColor[0.5019607843137255, 1., 1.]" 3
26 176.6337890625 178.3286132813 104 115 10 "{4, 24}" "RGBColor[0.5744239437967285, 0.7388528035582408, 0.3875344731620369]" 4 "{4, 2, 2}" "RGBColor[0.5019607843137255, 1., 1.]" 3
26 84.4228515625 165.8676757813 87 179 10 "{4, 24}" "RGBColor[0.5744239437967285, 0.7388528035582408, 0.3875344731620369]" 4 "{4, 2, 2}" "RGBColor[0.5019607843137255, 1., 1.]" 3
5 449.5283203125 184.5590820313 105 1 10 {} "RGBColor[0.6206271848875495, 0.7435678345737289, 0.35067053789311636]" 5 {5} "RGBColor[0.5019607843137255, 1., 1.]" 3
5 354.8251953125 197.0200195313 100 44 10 {} "RGBColor[0.6206271848875495, 0.7435678345737289, 0.35067053789311636]" 5 {5} "RGBColor[0.5019607843137255, 1., 1.]" 3
29 362.3017578125 195.7739257813 100 45 10 {5} "RGBColor[0.6206271848875495, 0.7435678345737289, 0.35067053789311636]" 5 "{5, 1}" "RGBColor[0.5019607843137255, 1., 1.]" 3
29 390.3388671875 191.4125976563 117 124 10 {5} "RGBColor[0.6206271848875495, 0.7435678345737289, 0.35067053789311636]" 5 "{5, 1}" "RGBColor[0.5019607843137255, 1., 1.]" 3
