41 0 8 #Rotation x y z
400.9 120.3 -306.0 #Center of root x y z
689 393 200 #Dimension of raw data set x y z
ObjectID X Y Z Timepoint Radius Precursors Color Lineage TrackID TrackColor TrackGroup Layer DivisionType
4 257.9264322917 162.6604817708 126 1 10 {} "RGBColor[0.888121, 0.35826, 0.173241]" 4 {4} "RGBColor[0.921172, 0.333333, 1.]" 5 0 -
4 251.3100585938 161.7072753906 129 5 10 {} "RGBColor[0.888121, 0.35826, 0.173241]" 4 {4} "RGBColor[0.921172, 0.333333, 1.]" 5 0 0
19 264.7670898438 161.0344238281 129 6 10 {4} "RGBColor[0.898845, 0.42793, 0.186907]" 4 "{4, 1}" "RGBColor[0.921172, 0.333333, 1.]" 5 0 -
19 289.6625976563 161.0344238281 132 107 10 {4} "RGBColor[0.898845, 0.42793, 0.186907]" 4 "{4, 1}" "RGBColor[0.921172, 0.333333, 1.]" 5 0 1
20 240.5444335938 165.7443847656 129 6 10 {4} "RGBColor[0.247661, 0.288061, 0.790803]" 4 "{4, 2}" "RGBColor[0.921172, 0.333333, 1.]" 5 0 -
20 216.3217773438 167.7629394531 132 102 10 {4} "RGBColor[0.247661, 0.288061, 0.790803]" 4 "{4, 2}" "RGBColor[0.921172, 0.333333, 1.]" 5 0 0
141 288.9897460938 153.9694824219 132 108 10 "{4, 19}" "RGBColor[0.463327, 0.713096, 0.5004]" 4 "{4, 1, 1}" "RGBColor[0.921172, 0.333333, 1.]" 5 0 -
141 289.6625976563 155.9880371094 133 196 10 "{4, 19}" "RGBColor[0.463327, 0.713096, 0.5004]" 4 "{4, 1, 1}" "RGBColor[0.921172, 0.333333, 1.]" 5 0 0
142 291.0083007813 166.7536621094 132 108 10 "{4, 19}" "RGBColor[0.515347, 0.730203, 0.439001]" 4 "{4, 1, 2}" "RGBColor[0.921172, 0.333333, 1.]" 5 1 -
142 290.3354492188 168.0993652344 124 166 10 "{4, 19}" "RGBColor[0.515347, 0.730203, 0.439001]" 4 "{4, 1, 2}" "RGBColor[0.921172, 0.333333, 1.]" 5 1 0
143 299.0825195313 155.3151855469 135 197 10 "{4, 19, 141}" "RGBColor[0.898826, 0.587956, 0.21771]" 4 "{4, 1, 1, 1}" "RGBColor[0.921172, 0.333333, 1.]" 5 0 -
143 307.8295898438 159.3522949219 137 289 10 "{4, 19, 141}" "RGBColor[0.898826, 0.587956, 0.21771]" 4 "{4, 1, 1, 1}" "RGBColor[0.921172, 0.333333, 1.]" 5 0 0
144 284.2797851563 153.9694824219 135 197 10 "{4, 19, 141}" "RGBColor[0.292215, 0.151253, 0.697167]" 4 "{4, 1, 1, 2}" "RGBColor[0.921172, 0.333333, 1.]" 5 0 -
144 276.8784179688 164.7351074219 138 300 10 "{4, 19, 141}" "RGBColor[0.292215, 0.151253, 0.697167]" 4 "{4, 1, 1, 2}" "RGBColor[0.921172, 0.333333, 1.]" 5 0 -
145 230.4516601563 168.0993652344 133 103 10 "{4, 20}" "RGBColor[0.467697, 0.714564, 0.495189]" 4 "{4, 2, 1}" "RGBColor[0.921172, 0.333333, 1.]" 5 0 -
145 239.1987304688 165.4079589844 133 174 10 "{4, 20}" "RGBColor[0.467697, 0.714564, 0.495189]" 4 "{4, 2, 1}" "RGBColor[0.921172, 0.333333, 1.]" 5 0 1
146 204.8833007813 172.8093261719 133 103 10 "{4, 20}" "RGBColor[0.253768, 0.416366, 0.810126]" 4 "{4, 2, 2}" "RGBColor[0.921172, 0.333333, 1.]" 5 0 -
146 183.3520507813 176.1735839844 135 206 10 "{4, 20}" "RGBColor[0.253768, 0.416366, 0.810126]" 4 "{4, 2, 2}" "RGBColor[0.921172, 0.333333, 1.]" 5 0 1
147 185.3706054688 181.5563964844 134 207 10 "{4, 20, 146}" "RGBColor[0.901384, 0.55692, 0.211611]" 4 "{4, 2, 2, 1}" "RGBColor[0.921172, 0.333333, 1.]" 5 1 -
147 190.7534179688 190.3034667969 133 300 10 "{4, 20, 146}" "RGBColor[0.901384, 0.55692, 0.211611]" 4 "{4, 2, 2, 1}" "RGBColor[0.921172, 0.333333, 1.]" 5 1 -
