41 -5 2 #Rotation x y z       
400.9 120.3 -306 #Center of root x y z     
689 393 200 #Dimension of raw data set x y z   
ObjectID X Y Z Timepoint Radius Precursors Color Lineage TrackID TrackColor TrackGroup Layer DivisionType
1122 300 142.0263671875 123 1 10 {} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 {1122} "RGBColor[0., 1., 0.]" 4 0 0
5566 350 156.3805338542 126 1 10 {} "RGBColor[0.86609, 0.199318, 0.144059]" 5566 {5566} "RGBColor[0.501961, 0., 1.]" 3 0 0
9910 376.3483072917 164.4547526042 137 1 10 {} "RGBColor[0.86787, 0.21323, 0.146492]" 9910 {9910} "RGBColor[0., 0., 1.]" 2 0 0
1 278.560546875 143.8206380208 123 2 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
1 267.794921875 142.9235026042 123 3 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
1 269.5891927083 142.0263671875 123 4 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
1 269.5891927083 142.9235026042 123 5 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
1 272.2805989583 139.3349609375 123 6 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
1 277.6634114583 141.1292317708 123 7 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
1 274.9720052083 142.9235026042 123 8 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
1 274.0748697917 142.0263671875 123 9 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
1 269.5891927083 142.0263671875 123 10 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
1 266.8977864583 141.1292317708 123 11 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
1 263.3092447917 142.9235026042 123 12 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
1 273.177734375 141.1292317708 123 13 10 {1122} "RGBColor[0.31392, 0.117423, 0.662018]" 1122 "{1122, 1}" "RGBColor[0., 1., 0.]" 4 0 -
