35 -5 5 #Rotation x y z
307.2 166.1 -219.6 #Center of root x y z
736 376 170 #Dimension of raw data set x y z
ObjectID X Y Z Timepoint Radius Precursors Color Lineage TrackID TrackColor TrackGroup Layer DivisionType
1 325.234375 181.3984375 115 1 10 {} "RGBColor[0.4821463856470718, 0.719416890032892, 0.47796315756519797]" 1 {1} "RGBColor[1., 0., 0.]" 1 0 -
1 299.359375 202.9609375 115 77 10 {} "RGBColor[0.4821463856470718, 0.719416890032892, 0.47796315756519797]" 1 {1} "RGBColor[1., 0., 0.]" 1 0 0
31 284.984375 201.5234375 115 78 10 {1} "RGBColor[0.5229496627311446, 0.7313157985479162, 0.4323774133937795]" 1 "{1, 1}" "RGBColor[1., 0., 0.]" 1 0 -
31 256.234375 210.8671875 120 166 10 {1} "RGBColor[0.5229496627311446, 0.7313157985479162, 0.4323774133937795]" 1 "{1, 1}" "RGBColor[1., 0., 0.]" 1 0 1
32 306.546875 199.3671875 115 78 10 {1} "RGBColor[0.8943645968261791, 0.598419348677982, 0.22009206000603282]" 1 "{1, 2}" "RGBColor[1., 0., 0.]" 1 0 -
32 345.359375 199.3671875 120 150 10 {1} "RGBColor[0.8943645968261791, 0.598419348677982, 0.22009206000603282]" 1 "{1, 2}" "RGBColor[1., 0., 0.]" 1 0 1
35 351.109375 187.8671875 120 151 10 "{1, 32}" "RGBColor[0.6797252103209932, 0.7428839293844993, 0.3146116823037599]" 1 "{1, 2, 1}" "RGBColor[1., 0., 0.]" 1 0 -
35 366.921875 193.6171875 124 253 10 "{1, 32}" "RGBColor[0.6797252103209932, 0.7428839293844993, 0.3146116823037599]" 1 "{1, 2, 1}" "RGBColor[1., 0., 0.]" 1 0 0
36 343.203125 205.8359375 120 151 10 "{1, 32}" "RGBColor[0.5947150119144047, 0.7418238772459511, 0.3698574675584064]" 1 "{1, 2, 2}" "RGBColor[1., 0., 0.]" 1 1 -
36 332.421875 213.7421875 129 236 10 "{1, 32}" "RGBColor[0.5947150119144047, 0.7418238772459511, 0.3698574675584064]" 1 "{1, 2, 2}" "RGBColor[1., 0., 0.]" 1 1 1
37 333.859375 205.1171875 130 237 10 "{1, 32, 36}" "RGBColor[0.8743668492679036, 0.26398658521427265, 0.15536992935670302]" 1 "{1, 2, 2, 1}" "RGBColor[1., 0., 0.]" 1 1 -
37 329.546875 209.4296875 132 300 10 "{1, 32, 36}" "RGBColor[0.8743668492679036, 0.26398658521427265, 0.15536992935670302]" 1 "{1, 2, 2, 1}" "RGBColor[1., 0., 0.]" 1 1 -
38 333.140625 223.8046875 130 237 10 "{1, 32, 36}" "RGBColor[0.31010882414341673, 0.5909645386389831, 0.7324495902191411]" 1 "{1, 2, 2, 2}" "RGBColor[1., 0., 0.]" 1 1 -
38 328.828125 225.9609375 132 300 10 "{1, 32, 36}" "RGBColor[0.31010882414341673, 0.5909645386389831, 0.7324495902191411]" 1 "{1, 2, 2, 2}" "RGBColor[1., 0., 0.]" 1 1 -
39 355.421875 191.4609375 124 254 10 "{1, 32, 35}" "RGBColor[0.3503009614960852, 0.6426652950026803, 0.6632240277188265]" 1 "{1, 2, 1, 1}" "RGBColor[1., 0., 0.]" 1 0 -
39 321.640625 191.4609375 130 300 10 "{1, 32, 35}" "RGBColor[0.3503009614960852, 0.6426652950026803, 0.6632240277188265]" 1 "{1, 2, 1, 1}" "RGBColor[1., 0., 0.]" 1 0 -
40 376.265625 195.7734375 124 254 10 "{1, 32, 35}" "RGBColor[0.7235837454325046, 0.7381503059863607, 0.29122376633719477]" 1 "{1, 2, 1, 2}" "RGBColor[1., 0., 0.]" 1 0 -
40 403.578125 203.6796875 130 300 10 "{1, 32, 35}" "RGBColor[0.7235837454325046, 0.7381503059863607, 0.29122376633719477]" 1 "{1, 2, 1, 2}" "RGBColor[1., 0., 0.]" 1 0 -
