90 2 20 #Rotation x y z     
301.2 129.5 -101.3 #Center of root x y z z  
684 378 110 #Dimension of raw data set x y z
ObjectID X Y Z Timepoint Radius Precursors Color Lineage TrackID TrackColor TrackGroup Layer DivisionType
52 430.505859375 147.3837890625 29 1 10 {} "RGBColor[0.374604, 0.114087, 0.609999]" 52 {52} "RGBColor[0.970321, 1., 0.533333]" -1 {0} -
52 407.126953125 152.0595703125 25 34 10 {} "RGBColor[0.374604, 0.114087, 0.609999]" 52 {52} "RGBColor[0.970321, 1., 0.533333]" -1 {0} 0
53 419.150390625 152.0595703125 25 35 10 {52} "RGBColor[0.974481, 0.614094, 0.610105]" 52 "{52, 1}" "RGBColor[0.970321, 1., 0.533333]" -1 {0} -
53 466.576171875 169.4267578125 38 247 10 {52} "RGBColor[0.974481, 0.614094, 0.610105]" 52 "{52, 1}" "RGBColor[0.970321, 1., 0.533333]" -1 {0} 0
54 400.447265625 158.0712890625 25 35 10 {52} "RGBColor[0.974481, 0.614094, 0.610105]" 52 "{52, 2}" "RGBColor[0.970321, 1., 0.533333]" -1 {0} -
54 380.408203125 176.7744140625 28 91 10 {52} "RGBColor[0.974481, 0.614094, 0.610105]" 52 "{52, 2}" "RGBColor[0.970321, 1., 0.533333]" -1 {0} 1
421 481.939453125 168.7587890625 36 248 10 "{52, 53}" "RGBColor[0.315479, 0.117337, 0.660681]" 52 "{52, 1, 1}" "RGBColor[0.970321, 1., 0.533333]" -1 {0} -
421 486.615234375 128.0126953125 44 344 10 "{52, 53}" "RGBColor[0.315479, 0.117337, 0.660681]" 52 "{52, 1, 1}" "RGBColor[0.970321, 1., 0.533333]" -1 {0} 0
422 453.216796875 177.4423828125 30 248 10 "{52, 53}" "RGBColor[0.285783, 0.535528, 0.771473]" 52 "{52, 1, 2}" "RGBColor[0.970321, 1., 0.533333]" -1 {0} -
422 450.544921875 173.4345703125 34 327 10 "{52, 53}" "RGBColor[0.285783, 0.535528, 0.771473]" 52 "{52, 1, 2}" "RGBColor[0.970321, 1., 0.533333]" -1 {0} 0
423 450.544921875 170.0947265625 33 328 10 "{52, 53, 422}" "RGBColor[0.546121, 0.734709, 0.412192]" 52 "{52, 1, 2, 1}" "RGBColor[0.970321, 1., 0.533333]" -1 {0} -
423 439.189453125 149.3876953125 40 460 10 "{52, 53, 422}" "RGBColor[0.546121, 0.734709, 0.412192]" 52 "{52, 1, 2, 1}" "RGBColor[0.970321, 1., 0.533333]" -1 {0} 0
424 446.537109375 188.7978515625 34 328 10 "{52, 53, 422}" "RGBColor[0.901582, 0.543043, 0.20897]" 52 "{52, 1, 2, 2}" "RGBColor[0.970321, 1., 0.533333]" -1 {0} -
424 419.818359375 176.1064453125 36 460 10 "{52, 53, 422}" "RGBColor[0.901582, 0.543043, 0.20897]" 52 "{52, 1, 2, 2}" "RGBColor[0.970321, 1., 0.533333]" -1 {0} 0
425 480.603515625 117.9931640625 43 345 10 "{52, 53, 421}" "RGBColor[0.246067, 0.320643, 0.802059]" 52 "{52, 1, 1, 1}" "RGBColor[0.970321, 1., 0.533333]" -1 {0} -
425 473.255859375 98.6220703125 49 460 10 "{52, 53, 421}" "RGBColor[0.246067, 0.320643, 0.802059]" 52 "{52, 1, 1, 1}" "RGBColor[0.970321, 1., 0.533333]" -1 {0} 0
426 477.931640625 133.3564453125 48 345 10 "{52, 53, 421}" "RGBColor[0.250598, 0.398332, 0.812075]" 52 "{52, 1, 1, 2}" "RGBColor[0.970321, 1., 0.533333]" -1 {0} -
426 464.572265625 132.6884765625 45 460 10 "{52, 53, 421}" "RGBColor[0.250598, 0.398332, 0.812075]" 52 "{52, 1, 1, 2}" "RGBColor[0.970321, 1., 0.533333]" -1 {0} 0
55 379.072265625 183.4541015625 27 92 10 "{52, 54}" "RGBColor[0.974481, 0.614094, 0.610105]" 52 "{52, 2, 1}" "RGBColor[0.970321, 1., 0.533333]" -1 "{0, 1}" -
55 371.724609375 195.4775390625 34 158 10 "{52, 54}" "RGBColor[0.974481, 0.614094, 0.610105]" 52 "{52, 2, 1}" "RGBColor[0.970321, 1., 0.533333]" -1 "{0, 1}" 0
56 383.080078125 162.0791015625 30 92 10 "{52, 54}" "RGBColor[0.974481, 0.614094, 0.610105]" 52 "{52, 2, 2}" "RGBColor[0.970321, 1., 0.533333]" -1 "{0, 2}" -
56 387.087890625 160.7431640625 41 389 10 "{52, 54}" "RGBColor[0.974481, 0.614094, 0.610105]" 52 "{52, 2, 2}" "RGBColor[0.970321, 1., 0.533333]" -1 "{0, 2}" 1
57 383.748046875 156.0673828125 39 390 10 "{52, 54, 56}" "RGBColor[0.974481, 0.614094, 0.610105]" 52 "{52, 2, 2, 1}" "RGBColor[0.970321, 1., 0.533333]" -1 "{0, 2, 2}" -
57 383.748046875 140.7041015625 47 460 10 "{52, 54, 56}" "RGBColor[0.974481, 0.614094, 0.610105]" 52 "{52, 2, 2, 1}" "RGBColor[0.970321, 1., 0.533333]" -1 "{0, 2, 2}" 1
58 392.431640625 168.7587890625 39 390 10 "{52, 54, 56}" "RGBColor[0.974481, 0.614094, 0.610105]" 52 "{52, 2, 2, 2}" "RGBColor[0.970321, 1., 0.533333]" -1 "{0, 2, 1}" -
58 387.087890625 162.7470703125 40 460 10 "{52, 54, 56}" "RGBColor[0.974481, 0.614094, 0.610105]" 52 "{52, 2, 2, 2}" "RGBColor[0.970321, 1., 0.533333]" -1 "{0, 2, 1}" 1
59 381.744140625 190.8017578125 31 159 10 "{52, 54, 55}" "RGBColor[0.974481, 0.614094, 0.610105]" 52 "{52, 2, 1, 1}" "RGBColor[0.970321, 1., 0.533333]" -1 "{0, 1}" -
59 416.478515625 162.0791015625 36 460 10 "{52, 54, 55}" "RGBColor[0.974481, 0.614094, 0.610105]" 52 "{52, 2, 1, 1}" "RGBColor[0.970321, 1., 0.533333]" -1 "{0, 1}" 0
60 362.373046875 195.4775390625 36 159 10 "{52, 54, 55}" "RGBColor[0.974481, 0.614094, 0.610105]" 52 "{52, 2, 1, 2}" "RGBColor[0.970321, 1., 0.533333]" -1 "{0, 1}" -
60 361.037109375 215.5166015625 34 308 10 "{52, 54, 55}" "RGBColor[0.974481, 0.614094, 0.610105]" 52 "{52, 2, 1, 2}" "RGBColor[0.970321, 1., 0.533333]" -1 "{0, 1}" 2
61 362.373046875 209.5048828125 30 309 10 "{52, 54, 55, 60}" "RGBColor[0.974481, 0.614094, 0.610105]" 52 "{52, 2, 1, 2, 1}" "RGBColor[0.970321, 1., 0.533333]" -1 "{0, 1}" -
61 357.029296875 205.4970703125 28 408 10 "{52, 54, 55, 60}" "RGBColor[0.974481, 0.614094, 0.610105]" 52 "{52, 2, 1, 2, 1}" "RGBColor[0.970321, 1., 0.533333]" -1 "{0, 1}" 0
