0 0 0          
0 -2 0          
3 2 0          
ObjectID X Y Z Timepoint Radius Precursors Color Lineage TrackID TrackColor TrackGroup Layer DivisionType
1 -0.25 -1.225 0 1 0.105 {} Color 1 TrackId TrackColor 0 0 0
2 -0.25 -1.03 0 1 0.09 {} Color 2 TrackId TrackColor 0 0 0
3 0.25 -1.225 0 1 0.105 {} Color 3 TrackId TrackColor 0 0 0
4 0.25 -1.03 0 1 0.09 {} Color 4 TrackId TrackColor 0 0 0
5 -1 -1.225 0 1 0.21 {} Color 5 TrackId TrackColor 0 0 0
6 -1 -1.03 0 1 0.18 {} Color 6 TrackId TrackColor 0 0 0
7 1 -1.225 0 1 0.21 {} Color 7 TrackId TrackColor 0 0 0
8 1 -1.03 0 1 0.18 {} Color 8 TrackId TrackColor 0 0 -
8 0.999999 -1.068 0 2 0.230004 {} Color 8 TrackId TrackColor 0 0 -
8 0.999928 -1.06667 0 3 0.231844 {} Color 8 TrackId TrackColor 0 0 -
8 0.999857 -1.06534 0 4 0.233683 {} Color 8 TrackId TrackColor 0 0 -
8 0.999786 -1.06401 0 5 0.235521 {} Color 8 TrackId TrackColor 0 0 -
8 0.999714 -1.06268 0 6 0.237359 {} Color 8 TrackId TrackColor 0 0 -
8 0.999643 -1.06135 0 7 0.239196 {} Color 8 TrackId TrackColor 0 0 -
8 0.999572 -1.06002 0 8 0.241032 {} Color 8 TrackId TrackColor 0 0 -
8 0.999501 -1.05869 0 9 0.242868 {} Color 8 TrackId TrackColor 0 0 -
8 0.99943 -1.05736 0 10 0.244704 {} Color 8 TrackId TrackColor 0 0 -
8 0.999359 -1.05603 0 11 0.246538 {} Color 8 TrackId TrackColor 0 0 -
8 0.999288 -1.0547 0 12 0.248372 {} Color 8 TrackId TrackColor 0 0 -
8 0.999217 -1.05337 0 13 0.250206 {} Color 8 TrackId TrackColor 0 0 -
8 0.999146 -1.05204 0 14 0.252039 {} Color 8 TrackId TrackColor 0 0 -
8 0.999074 -1.05071 0 15 0.253871 {} Color 8 TrackId TrackColor 0 0 -
8 0.999003 -1.04938 0 16 0.255702 {} Color 8 TrackId TrackColor 0 0 -
8 0.998932 -1.04805 0 17 0.257533 {} Color 8 TrackId TrackColor 0 0 -
