0 0 0          
0 -2 0          
3 2 0          
ObjectID X Y Z Timepoint Radius Precursors Color Lineage TrackID TrackColor TrackGroup Layer DivisionType
1 0 -1.135 0 1 1.17 {} Color 1 TrackId TrackColor 0 0 0
2 0.750003 -1.135 0 2 0.584984 {1} Color 1 TrackId TrackColor 0 0 0
3 -0.749997 -1.135 0 2 0.584989 {1} Color 1 TrackId TrackColor 0 0 0
4 -1.12559 -1.13431 0 3 0.293074 "{1, 3}" Color 1 TrackId TrackColor 0 0 0
5 -0.376779 -1.13277 0 3 0.295375 "{1, 3}" Color 1 TrackId TrackColor 0 0 0
6 1.1244 -1.13424 0 3 0.294111 "{1, 2}" Color 1 TrackId TrackColor 0 0 0
7 0.373218 -1.1327 0 3 0.296412 "{1, 2}" Color 1 TrackId TrackColor 0 0 0
8 0.559253 -1.13123 0 4 0.149533 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
8 0.557467 -1.1291 0 5 0.151373 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
8 0.55568 -1.12697 0 6 0.153211 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
8 0.553894 -1.12485 0 7 0.155048 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
8 0.552108 -1.12272 0 8 0.156882 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
8 0.550322 -1.12059 0 9 0.158716 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
8 0.548536 -1.11846 0 10 0.160547 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
8 0.54675 -1.11633 0 11 0.162377 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
8 0.544963 -1.1142 0 12 0.164205 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
8 0.543177 -1.11207 0 13 0.166031 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
8 0.541391 -1.10994 0 14 0.167856 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
8 0.539605 -1.10781 0 15 0.169679 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
8 0.537819 -1.10568 0 16 0.171501 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
8 0.536033 -1.10355 0 17 0.17332 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
8 0.534247 -1.10142 0 18 0.175138 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
8 0.53246 -1.09929 0 19 0.176955 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
8 0.530674 -1.09716 0 20 0.178769 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
8 0.528888 -1.09503 0 21 0.180582 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
8 0.527102 -1.0929 0 22 0.182394 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
8 0.525316 -1.09077 0 23 0.184203 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
8 0.52353 -1.08864 0 24 0.186011 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
8 0.521743 -1.08651 0 25 0.187817 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
8 0.519957 -1.08439 0 26 0.189622 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
8 0.518171 -1.08226 0 27 0.191425 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
8 0.516385 -1.08013 0 28 0.193226 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
8 0.514599 -1.078 0 29 0.195026 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
8 0.512813 -1.07587 0 30 0.196823 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
8 0.511027 -1.07374 0 31 0.19862 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
8 0.50924 -1.07161 0 32 0.200414 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
8 0.507454 -1.06948 0 33 0.202207 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
8 0.505668 -1.06735 0 34 0.203998 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
8 0.449422 -1.0548 0 35 0.224392 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 1
9 0.183211 -1.12974 0 4 0.150556 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
9 0.180976 -1.1269 0 5 0.152801 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
9 0.17874 -1.12405 0 6 0.155045 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
9 0.176505 -1.12121 0 7 0.157287 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
9 0.174269 -1.11836 0 8 0.159529 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
9 0.172033 -1.11552 0 9 0.16177 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
9 0.169798 -1.11267 0 10 0.16401 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
9 0.167562 -1.10983 0 11 0.166249 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
9 0.165327 -1.10698 0 12 0.168487 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
9 0.163091 -1.10414 0 13 0.170724 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
9 0.160855 -1.10129 0 14 0.17296 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
9 0.15862 -1.09845 0 15 0.175196 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
9 0.156384 -1.0956 0 16 0.17743 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
9 0.154149 -1.09275 0 17 0.179664 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
9 0.151913 -1.08991 0 18 0.181896 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
9 0.149677 -1.08706 0 19 0.184128 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
9 0.147442 -1.08422 0 20 0.186359 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
9 0.145206 -1.08137 0 21 0.188589 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
9 0.142971 -1.07853 0 22 0.190818 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
9 0.140735 -1.07568 0 23 0.193046 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
9 0.138499 -1.07284 0 24 0.195273 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
9 0.136264 -1.06999 0 25 0.1975 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
9 0.134028 -1.06715 0 26 0.199725 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
9 0.131793 -1.0643 0 27 0.20195 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
9 0.129557 -1.06145 0 28 0.204173 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
9 0.127321 -1.05861 0 29 0.206396 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
9 0.125086 -1.05576 0 30 0.208618 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
9 0.12285 -1.05292 0 31 0.210838 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
9 0.120615 -1.05007 0 32 0.213058 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
9 0.118379 -1.04723 0 33 0.215277 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
9 0.116144 -1.04438 0 34 0.217495 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 1
10 0.935494 -1.13281 0 4 0.148419 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 0.934402 -1.13168 0 5 0.149569 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 0.933309 -1.13056 0 6 0.150718 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 0.932216 -1.12943 0 7 0.151866 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 0.931124 -1.1283 0 8 0.153013 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 0.930031 -1.12718 0 9 0.154159 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 0.928939 -1.12605 0 10 0.155303 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 0.927846 -1.12493 0 11 0.156447 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 0.926754 -1.1238 0 12 0.15759 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 0.925661 -1.12267 0 13 0.158731 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 0.924569 -1.12155 0 14 0.159872 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 0.923476 -1.12042 0 15 0.161011 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 0.922384 -1.11929 0 16 0.162149 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 0.921291 -1.11817 0 17 0.163287 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 0.920198 -1.11704 0 18 0.164423 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 0.919106 -1.11592 0 19 0.165558 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 0.918013 -1.11479 0 20 0.166692 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 0.916921 -1.11366 0 21 0.167825 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 0.915828 -1.11254 0 22 0.168957 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 0.914736 -1.11141 0 23 0.170088 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 0.913643 -1.11028 0 24 0.171218 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 0.912551 -1.10916 0 25 0.172347 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 0.911458 -1.10803 0 26 0.173474 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
