ID Time CellCorners
8 1 0.5,-1.12,0,0.5,-0.94,0,1.5,-0.94,0,1.5,-1.12,0
7 1 0.5,-1.33,0,0.5,-1.12,0,1.5,-1.12,0,1.5,-1.33,0
6 1 -1.5,-1.12,0,-1.5,-0.94,0,-0.5,-0.94,0,-0.5,-1.12,0
5 1 -1.5,-1.33,0,-1.5,-1.12,0,-0.5,-1.12,0,-0.5,-1.33,0
4 1 0,-1.12,0,0,-0.94,0,0.5,-0.94,0,0.5,-1.12,0
3 1 0,-1.33,0,0,-1.12,0,0.5,-1.12,0,0.5,-1.33,0
2 1 -0.5,-1.12,0,-0.5,-0.94,0,0,-0.94,0,0,-1.12,0
1 1 -0.5,-1.33,0,-0.5,-1.12,0,0,-1.12,0,0,-1.33,0
22 2 0,-1.11692,0,0,-1.33,0,-0.257586,-1.33,0,-0.2402,-1.08667,0
21 2 -0.257586,-1.33,0,-0.5,-1.33,0,-0.5,-1.11831,0,-0.249987,-1.08349,0,-0.2402,-1.08667,0
20 2 0,-0.93384,0,0,-1.11692,0,-0.2402,-1.08667,0,-0.249987,-1.08349,0,-0.249898,-0.934259,0
19 2 -0.249987,-1.08349,0,-0.5,-1.11831,0,-0.499644,-0.935286,0,-0.249898,-0.934259,0
18 2 0.5,-1.11829,0,0.5,-1.33,0,0.242424,-1.33,0,0.259783,-1.08667,0
17 2 0.242424,-1.33,0,0,-1.33,0,0,-1.11692,0,0.250002,-1.08343,0,0.259783,-1.08667,0
16 2 0.499644,-0.935295,0,0.5,-1.11829,0,0.259783,-1.08667,0,0.250002,-1.08343,0,0.249885,-0.934254,0
15 2 0.250002,-1.08343,0,0,-1.11692,0,0,-0.93384,0,0.249885,-0.934254,0
14 2 -0.5,-1.11831,0,-0.5,-1.33,0,-1.00913,-1.33,0,-0.985253,-1.05722,0
13 2 -1.00913,-1.33,0,-1.5,-1.33,0,-1.5,-1.12,0,-1,-1.05184,0,-0.985253,-1.05722,0
12 2 -0.499644,-0.935286,0,-0.5,-1.11831,0,-0.985253,-1.05722,0,-1,-1.05184,0,-0.999287,-0.938132,0
11 2 -1,-1.05184,0,-1.5,-1.12,0,-1.5,-0.94,0,-0.999287,-0.938132,0
10 2 1.5,-1.12,0,1.5,-1.33,0,0.999999,-1.33,0,0.999999,-1.19846,0
9 2 0.999999,-1.33,0,0.5,-1.33,0,0.5,-1.11829,0,0.999999,-1.19846,0
8 2 0.999999,-1.19846,0,0.5,-1.11829,0,0.499644,-0.935295,0,1.5,-0.94,0,1.5,-1.12,0
22 3 0,-1.11384,0,0,-1.33,0,-0.257586,-1.33,0,-0.2402,-1.08388,0
