0 0 0          
0 -2 0          
3 2 0          
ObjectID X Y Z Timepoint Radius Precursors Color Lineage TrackID TrackColor TrackGroup Layer DivisionType
1 0.25 -1.225 0 1 0.105 {} Color 1 TrackId TrackColor 0 0 0
2 0.25 -1.03 0 1 0.09 {} Color 2 TrackId TrackColor 0 0 0
3 -0.25 -1.225 0 1 0.105 {} Color 3 TrackId TrackColor 0 0 0
4 -0.25 -1.03 0 1 0.09 {} Color 4 TrackId TrackColor 0 0 0
5 1 -1.225 0 1 0.21 {} Color 5 TrackId TrackColor 0 0 0
6 1 -1.03 0 1 0.18 {} Color 6 TrackId TrackColor 0 0 0
7 -1 -1.225 0 1 0.21 {} Color 7 TrackId TrackColor 0 0 0
8 -1 -1.03 0 1 0.18 {} Color 8 TrackId TrackColor 0 0 -
8 -0.999999 -1.068 0 2 0.230004 {} Color 8 TrackId TrackColor 0 0 -
8 -1.00067 -1.0668 0 3 0.231169 {} Color 8 TrackId TrackColor 0 0 -
8 -1.00134 -1.0656 0 4 0.232337 {} Color 8 TrackId TrackColor 0 0 -
8 -1.00201 -1.0644 0 5 0.233508 {} Color 8 TrackId TrackColor 0 0 -
8 -1.00268 -1.06319 0 6 0.234682 {} Color 8 TrackId TrackColor 0 0 -
8 -1.00335 -1.06199 0 7 0.23586 {} Color 8 TrackId TrackColor 0 0 -
8 -1.00402 -1.06079 0 8 0.23704 {} Color 8 TrackId TrackColor 0 0 -
8 -1.00469 -1.05959 0 9 0.238223 {} Color 8 TrackId TrackColor 0 0 -
8 -1.00536 -1.05838 0 10 0.23941 {} Color 8 TrackId TrackColor 0 0 -
8 -1.00603 -1.05718 0 11 0.240599 {} Color 8 TrackId TrackColor 0 0 -
8 -1.0067 -1.05598 0 12 0.241792 {} Color 8 TrackId TrackColor 0 0 -
8 -1.00737 -1.05478 0 13 0.242988 {} Color 8 TrackId TrackColor 0 0 -
8 -1.00803 -1.05358 0 14 0.244186 {} Color 8 TrackId TrackColor 0 0 -
8 -1.0087 -1.05237 0 15 0.245388 {} Color 8 TrackId TrackColor 0 0 -
8 -1.00937 -1.05117 0 16 0.246593 {} Color 8 TrackId TrackColor 0 0 -
8 -1.01004 -1.04997 0 17 0.247801 {} Color 8 TrackId TrackColor 0 0 -
