0 0 0          
0 -2 0          
3 2 0          
ObjectID X Y Z Timepoint Radius Precursors Color Lineage TrackID TrackColor TrackGroup Layer DivisionType
1 0 -1.135 0 1 1.17 {} Color 1 TrackId TrackColor 0 0 0
2 -0.750003 -1.135 0 2 0.584984 {1} Color 1 TrackId TrackColor 0 0 0
3 0.749997 -1.135 0 2 0.584989 {1} Color 1 TrackId TrackColor 0 0 0
4 1.125 -1.13423 0 3 0.29365 "{1, 3}" Color 1 TrackId TrackColor 0 0 0
5 0.374998 -1.1327 0 3 0.295957 "{1, 3}" Color 1 TrackId TrackColor 0 0 0
6 -1.125 -1.13424 0 3 0.293631 "{1, 2}" Color 1 TrackId TrackColor 0 0 0
7 -0.375007 -1.13271 0 3 0.295939 "{1, 2}" Color 1 TrackId TrackColor 0 0 0
8 -0.187431 -1.1296 0 4 0.150243 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
8 -0.187376 -1.12674 0 5 0.152338 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
8 -0.187321 -1.12389 0 6 0.154432 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
8 -0.187266 -1.12103 0 7 0.156525 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
8 -0.187211 -1.11818 0 8 0.158616 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
8 -0.187156 -1.11532 0 9 0.160705 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
8 -0.1871 -1.11247 0 10 0.162794 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
8 -0.187045 -1.10961 0 11 0.164881 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
8 -0.18699 -1.10676 0 12 0.166966 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
8 -0.186935 -1.1039 0 13 0.169051 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
8 -0.18688 -1.10105 0 14 0.171134 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
8 -0.186825 -1.09819 0 15 0.173215 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
8 -0.186769 -1.09534 0 16 0.175295 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
8 -0.186714 -1.09248 0 17 0.177374 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
8 -0.186659 -1.08963 0 18 0.179452 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
8 -0.186604 -1.08677 0 19 0.181528 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
8 -0.186549 -1.08392 0 20 0.183603 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
8 -0.186494 -1.08106 0 21 0.185676 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
8 -0.186438 -1.07821 0 22 0.187748 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
8 -0.186383 -1.07535 0 23 0.189819 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
8 -0.186328 -1.0725 0 24 0.191888 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
8 -0.186273 -1.06964 0 25 0.193956 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
8 -0.186218 -1.06679 0 26 0.196023 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
8 -0.186163 -1.06393 0 27 0.198088 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
8 -0.186107 -1.06108 0 28 0.200152 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
8 -0.186052 -1.05822 0 29 0.202214 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
8 -0.185997 -1.05537 0 30 0.204275 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
8 -0.185942 -1.05251 0 31 0.206335 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
8 -0.185887 -1.04966 0 32 0.208394 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
8 -0.185832 -1.04681 0 33 0.210451 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
8 -0.185776 -1.04395 0 34 0.212507 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
8 -0.185721 -1.0411 0 35 0.214561 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
8 -0.185666 -1.03824 0 36 0.216614 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 1
9 -0.562284 -1.13109 0 4 0.149125 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
9 -0.562079 -1.12895 0 5 0.150654 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
9 -0.561874 -1.1268 0 6 0.15218 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
9 -0.56167 -1.12466 0 7 0.153704 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
9 -0.561465 -1.12252 0 8 0.155226 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
9 -0.561261 -1.12038 0 9 0.156745 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
9 -0.561056 -1.11823 0 10 0.158262 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
9 -0.560851 -1.11609 0 11 0.159776 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
9 -0.560647 -1.11395 0 12 0.161288 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
9 -0.560442 -1.11181 0 13 0.162797 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
9 -0.560238 -1.10967 0 14 0.164304 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
9 -0.560033 -1.10752 0 15 0.165809 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
9 -0.559829 -1.10538 0 16 0.167311 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
9 -0.559624 -1.10324 0 17 0.168811 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
9 -0.559419 -1.1011 0 18 0.170308 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
9 -0.559215 -1.09896 0 19 0.171803 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
9 -0.55901 -1.09681 0 20 0.173296 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
9 -0.558806 -1.09467 0 21 0.174786 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
9 -0.558601 -1.09253 0 22 0.176273 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
9 -0.558396 -1.09039 0 23 0.177759 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
9 -0.558192 -1.08824 0 24 0.179242 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
9 -0.557987 -1.0861 0 25 0.180722 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
9 -0.557783 -1.08396 0 26 0.1822 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
9 -0.557578 -1.08182 0 27 0.183676 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
9 -0.557374 -1.07968 0 28 0.185149 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
9 -0.557169 -1.07753 0 29 0.18662 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
9 -0.556964 -1.07539 0 30 0.188088 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
9 -0.55676 -1.07325 0 31 0.189554 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
9 -0.556555 -1.07111 0 32 0.191018 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
9 -0.556351 -1.06897 0 33 0.192479 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
9 -0.556146 -1.06682 0 34 0.193938 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
9 -0.555941 -1.06468 0 35 0.195394 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
9 -0.555737 -1.06254 0 36 0.196848 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 -
9 -0.49892 -1.05203 0 37 0.22649 "{1, 2, 7}" Color 1 TrackId TrackColor 0 0 1
10 -1.31244 -1.13439 0 4 0.146751 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.31227 -1.13409 0 5 0.147111 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.3121 -1.13379 0 6 0.14747 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.31194 -1.13348 0 7 0.147829 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.31177 -1.13318 0 8 0.148189 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.3116 -1.13287 0 9 0.148548 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.31143 -1.13257 0 10 0.148907 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.31126 -1.13227 0 11 0.149267 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
10 -1.31109 -1.13196 0 12 0.149626 "{1, 2, 6}" Color 1 TrackId TrackColor 0 0 -
