ObjectID	X	Y	Z	Timepoint	Radius	Precursors	Color
1	325.234375	181.3984375	115	1	10	{}	"RGBColor[0.4821463856470718, 0.719416890032892, 0.47796315756519797]"
1	299.359375	202.9609375	115	77	10	{}	"RGBColor[0.4821463856470718, 0.719416890032892, 0.47796315756519797]"
2	72.953125	211.5859375	102	1	10	{}	"RGBColor[0.8581171602780561, 0.13702942863858875, 0.13316405737245626]"
2	90.921875	228.1171875	103	128	10	{}	"RGBColor[0.8581171602780561, 0.13702942863858875, 0.13316405737245626]"
3	281.390625	197.2109375	104	1	10	{}	"RGBColor[0.26133913105743023, 0.2064251899029151, 0.7507404599800276]"
3	282.828125	197.9296875	106	22	10	{}	"RGBColor[0.26133913105743023, 0.2064251899029151, 0.7507404599800276]"
4	368.359375	185.7109375	106	1	10	{}	"RGBColor[0.8611803410210127, 0.16096174620147552, 0.13735002053059453]"
4	369.796875	187.8671875	107	10	10	{}	"RGBColor[0.8611803410210127, 0.16096174620147552, 0.13735002053059453]"
5	143.390625	198.6484375	94	1	10	{}	"RGBColor[0.9019448023398413, 0.5176030249501747, 0.20412725296812007]"
5	143.9296875	197.6601563	96	18	10	{}	"RGBColor[0.9019448023398413, 0.5176030249501747, 0.20412725296812007]"
6	243.296875	191.4609375	94	1	10	{}	"RGBColor[0.29341599051482525, 0.5545001659374293, 0.7594156465880982]"
6	242.7578125	198.0195313	96	37	10	{}	"RGBColor[0.29341599051482525, 0.5545001659374293, 0.7594156465880982]"
7	328.828125	186.4296875	95	1	10	{}	"RGBColor[0.2593746923938021, 0.20993540462430832, 0.7541489883335479]"
7	330.265625	186.4296875	97	16	10	{}	"RGBColor[0.2593746923938021, 0.20993540462430832, 0.7541489883335479]"
8	427.296875	169.1796875	97	1	10	{}	"RGBColor[0.8747998298044576, 0.6443001933189423, 0.23053752332289343]"
8	431.4296875	173.2226563	99	7	10	{}	"RGBColor[0.8747998298044576, 0.6443001933189423, 0.23053752332289343]"
9	117.515625	190.7421875	84	1	10	{}	"RGBColor[0.42844090990980915, 0.11112797358345977, 0.5638506216209777]"
